"by","quote"
"Sujiwo Tejo","Cinta tak perlu pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."
"Sydney Harris","Ancaman nyata sebenarnya bukan pada saat komputer mulai bisa berpikir seperti manusia, tetapi ketika manusia mulai berpikir seperti komputer."
"Theodore Rosevelt","Lakukan apa yang dapat Anda lakukan dengan apa yang Anda miliki dan tempat Anda berada."
"Thomas Alva Edison","Banyak kegagalan dalam ini dikarenakan orang-orang tidak menyadari betapa dekatnya mereka dengan keberhasilan saat mereka menyerah."
"Thomas Carlyle","Pergilah sejauh mungkin yang bisa Anda lihat dan Anda akan bisa melihat lebih jauh."
"Thomas Fuller","Orang yang tidak bisa memaafkan orang lain sama saja dengan orang yang memutuskan jembatan yang harus dilaluinya, karena semua orang perlu dimaafkan."
"Thomas Fuller","Menyaksikan adalah mempercayai, tapi merasakan adalah kebenaran."
"Thomas Jefferson","Dalam hal prinsip, usahakan kukuh seperti batu karang. Dalam hal selera, coba berenang mengikuti arus."
"Tung Desem Waringin","Setiap badai pasti berlalu dan saya akan tumbuh semakin kuat."
"Tyler Durden","Setelah kehilangan segalanya, barulah kita bebas melakukan apa saja."
"Umar bin Khattab","Raihlah ilmu dan untuk meraih ilmu belajarlah untuk tenang dan sabar."
"Vicosta Efran","Hiduplah seperti lilin yang menerangi orang lain. Jangan hidup seperti duri yang mencucuk diri dan menyakiti orang lain."
"Victor Hugo","Kesedihan adalah buah. Tuhan tak pernah membiarkannya tumbuh dicabang yang terlalu lemah untuk menanggungnya."
"Victor Hugo","Kebahagian tertinggi dalam kehidupan adalah kepastian bahwa Anda dicintai apa adanya, atau lebih tepatnya dicintai walaupun Anda seperti diri Anda adanya."
"Victor Hugo","Masalahnya bukan kurangnya tenaga, tetapi kurangnya daya kemauan."
"Vince Lambardi","Kemenangan bukanlah segala-galanya, tetapi perjuangan untuk menang adalah segala-galanya."
"Virginia Wolf","Jika Anda tak bisa mengatakan hal yang benar dari diri Anda, maka Anda pun tak bisa mengatakan hal yang benar dari orang lain."
"W. Camden","Burung yang terbang pagi akan memperoleh cacing paling banyak."
"Walt Disney","Cara untuk memulai adalah berhenti berbicara dan mulai lakukan sesuatu."
"Walter Cronkite","Sukses akan lebih permanen jika Anda meraihnya tanpa menghancurkan prinsip-prinsip Anda."
"Warren Buffett","Dari dulu saya selalu yakin saya akan kaya. Saya kira saya tak pernah meragukannya, satu menit pun."
"William A. W.","Satu-satunya yang bisa menghalangi kita adalah keyakinan yang salah dan sikap yang negatif."
"William Allen White","Saya tidak takut pada hari esok karena saya sudah melihat hari kemarin dan saya mencintai hari ini."
"William Arthur","Guru yang biasa-biasa, berbicara. Guru yang bagus, menerangkan. Guru yang hebat, mendemonstrasikan. Guru yang agung, memberi inspirasi."
"William F. Halsey","Semua masalah menjadi lebih kecil jika Anda tidak mengelaknya, tapi menghadapinya."
"William James","Jika Anda harus membuat pilihan dan Anda tidak melakukannya, itu saja sudah pilihan."
"William James","Percaya bahwa hidup itu berharga, dan kepercayaan Anda akan membantu menciptakan hidup yang berharga."
"William Ralph Inge","Kuatir sama seperti membayar bunga untuk uang yang mungkin tak pernah Anda pinjam."
"William Shakespeare","Jangan sering menyalakan api kebencian terhadap musuhmu, karena nanti akan membakar dirimu sendiri."
"William Shakespeare","Bila kamu jujur kepada dirimu sendiri, bagai siang pasti berganti malam, kamu takkan pernah berdusta kepada orang lain."
"William Shakespeare","Kutu yang berani adalah kutu yang bisa berani mendapatkan sarapannya pada bibir seekor singa."
"Winston Churchill","Kita menyambung hidup dengan apa yang kita peroleh, tapi kita menghadirkan kehidupkan dengan apa yang kita berikan."
"Wolfgang von Gothe","Pengetahuan tidaklah cukup, kita harus mengamalkannya. Niat tidak cukup, kita harus melakukannya."
"Zachary Scott","Ketika Anda bertambah tua, Anda akan menemukan satu-satunya hal yang Anda sesali adalah hal-hal yang tidak Anda lakukan."
"Zig Zaglar","Batu fondasi untuk sukses yang seimbang adalah kejujuran, watak, integritas, iman, cinta dan kesetiaan."
"Zig Zaglar","Kebanyakan orang gagal meraih cita-citanya bukan karena mereka tidak mampu, tetapi karena tidak berkomitmen."
"Zig Zaglar","Kita tidak harus hebat saat memulai, tapi kita harus memulai untuk menjadi hebat."
